====== He (4500) into Layer 1                   =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 4500 keV
============= TARGET MATERIAL ======================================
Layer 1 : PTFE
Layer Width = 50000.E+01 A ;
  Layer # 1- Density = 7.947E22 atoms/cm3 = 2.2 g/cm3
  Layer # 1-  C = 33.3 Atomic Percent = 24.0 Mass Percent
  Layer # 1-  F = 66.6 Atomic Percent = 75.9 Mass Percent
====================================================================
 Total Ions calculated =010000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
500001.E-02  1708.06E-02  9052.55E-07
100000.E-01  1725.36E-02  1019.93E-06
150000.E-01  1746.48E-02  1229.29E-06
200000.E-01  1771.44E-02  3987.15E-06
250000.E-01  1795.24E-02  1037.08E-06
300000.E-01  1819.57E-02  1882.68E-06
350000.E-01  1848.00E-02  1191.18E-06
400000.E-01  1878.47E-02  1424.02E-06
450000.E-01  1907.03E-02  1992.01E-06
500000.E-01  1937.57E-02  3309.63E-06
550000.E-01  1970.82E-02  1742.13E-06
600000.E-01  2001.78E-02  1851.55E-06
650000.E-01  2038.06E-02  2007.48E-06
700000.E-01  2076.35E-02  4043.08E-06
750000.E-01  2116.94E-02  2911.90E-06
800000.E-01  2160.17E-02  1432.65E-05
850000.E-01  2203.45E-02  4097.65E-06
900000.E-01  2249.56E-02  1866.77E-06
950000.E-01  2297.82E-02  1147.20E-05
100000.E+00  2351.75E-02  3135.14E-06
105000.E+00  2405.13E-02  3567.27E-06
110000.E+00  2460.78E-02  5041.67E-06
115000.E+00  2520.44E-02  5409.09E-06
120000.E+00  2583.90E-02  4025.30E-06
125000.E+00  2649.67E-02  1054.80E-05
130000.E+00  2719.39E-02  6579.92E-06
135000.E+00  2788.17E-02  5089.11E-06
140000.E+00  2860.83E-02  4792.44E-06
145000.E+00  2934.67E-02  1231.27E-05
150000.E+00  3002.35E-02  1307.40E-05
155000.E+00  3064.94E-02  1197.91E-05
160000.E+00  3109.70E-02  8934.16E-06
165000.E+00  3123.92E-02  1593.68E-05
170000.E+00  3085.75E-02  2136.95E-05
175000.E+00  2957.88E-02  2269.53E-05
180000.E+00  2702.54E-02  3041.51E-05
185000.E+00  2291.36E-02  4514.68E-05
190000.E+00  1728.24E-02  7261.83E-05
195000.E+00  1005.65E-02  1752.56E-04
200000.E+00  1593.40E-03  9055.95E-05
205000.E+00  4734.03E-06  6154.76E-07
210000.E+00  0000.00E+00  0000.00E+00
215000.E+00  0000.00E+00  0000.00E+00
220000.E+00  0000.00E+00  0000.00E+00
225000.E+00  0000.00E+00  0000.00E+00
230000.E+00  0000.00E+00  0000.00E+00
235000.E+00  0000.00E+00  0000.00E+00
240000.E+00  0000.00E+00  0000.00E+00
245000.E+00  0000.00E+00  0000.00E+00
250000.E+00  0000.00E+00  0000.00E+00
255000.E+00  0000.00E+00  0000.00E+00
260000.E+00  0000.00E+00  0000.00E+00
265000.E+00  0000.00E+00  0000.00E+00
270000.E+00  0000.00E+00  0000.00E+00
275000.E+00  0000.00E+00  0000.00E+00
280000.E+00  0000.00E+00  0000.00E+00
285000.E+00  0000.00E+00  0000.00E+00
290000.E+00  0000.00E+00  0000.00E+00
295000.E+00  0000.00E+00  0000.00E+00
300000.E+00  0000.00E+00  0000.00E+00
305000.E+00  0000.00E+00  0000.00E+00
310000.E+00  0000.00E+00  0000.00E+00
315000.E+00  0000.00E+00  0000.00E+00
320000.E+00  0000.00E+00  0000.00E+00
325000.E+00  0000.00E+00  0000.00E+00
330000.E+00  0000.00E+00  0000.00E+00
335000.E+00  0000.00E+00  0000.00E+00
340000.E+00  0000.00E+00  0000.00E+00
345000.E+00  0000.00E+00  0000.00E+00
350000.E+00  0000.00E+00  0000.00E+00
355000.E+00  0000.00E+00  0000.00E+00
360000.E+00  0000.00E+00  0000.00E+00
365000.E+00  0000.00E+00  0000.00E+00
370000.E+00  0000.00E+00  0000.00E+00
375000.E+00  0000.00E+00  0000.00E+00
380000.E+00  0000.00E+00  0000.00E+00
385000.E+00  0000.00E+00  0000.00E+00
390000.E+00  0000.00E+00  0000.00E+00
395000.E+00  0000.00E+00  0000.00E+00
400000.E+00  0000.00E+00  0000.00E+00
405000.E+00  0000.00E+00  0000.00E+00
410000.E+00  0000.00E+00  0000.00E+00
415000.E+00  0000.00E+00  0000.00E+00
420000.E+00  0000.00E+00  0000.00E+00
425000.E+00  0000.00E+00  0000.00E+00
430000.E+00  0000.00E+00  0000.00E+00
435000.E+00  0000.00E+00  0000.00E+00
440000.E+00  0000.00E+00  0000.00E+00
445000.E+00  0000.00E+00  0000.00E+00
450000.E+00  0000.00E+00  0000.00E+00
455000.E+00  0000.00E+00  0000.00E+00
460000.E+00  0000.00E+00  0000.00E+00
465000.E+00  0000.00E+00  0000.00E+00
470000.E+00  0000.00E+00  0000.00E+00
475000.E+00  0000.00E+00  0000.00E+00
480000.E+00  0000.00E+00  0000.00E+00
485000.E+00  0000.00E+00  0000.00E+00
490000.E+00  0000.00E+00  0000.00E+00
495000.E+00  0000.00E+00  0000.00E+00
500000.E+00  0000.00E+00  0000.00E+00
